Store,Dept,Date,Weekly_Sales,IsHoliday,Temperature,Fuel_Price,CPI,Unemployment
1,1,2021-01-01,1617.21,True,55.2,3.011,200.97,7.51
1,1,2021-01-02,1578.67,False,49.2,3.224,200.72,7.73
1,1,2021-01-03,1446.15,False,49.3,3.193,200.92,6.59
1,1,2021-01-04,1071.43,False,44.7,3.271,201.66,7.77
1,1,2021-01-05,1265.16,False,51.7,3.451,201.74,7.45
1,1,2021-01-06,1331.97,False,53.4,3.321,201.37,6.43
1,1,2021-01-07,1279.06,False,41.1,3.396,198.33,6.37
1,1,2021-01-08,1233.87,False,55.7,3.408,201.16,6.63
1,1,2021-01-09,1492.43,False,53.2,3.051,204.76,6.84
1,1,2021-01-10,1230.69,False,53.3,3.39,199.4,6.13
1,1,2021-01-11,1201.83,False,50.6,3.477,198.29,6.82
1,1,2021-01-12,1327.98,False,53.9,3.395,199.09,7.63
1,1,2021-01-13,1110.16,False,46.8,3.45,201.89,7.93
1,1,2021-01-14,1163.47,False,48.1,3.031,198.66,7.29
1,1,2021-01-15,1183.33,False,32.7,3.374,198.28,6.85
1,1,2021-01-16,1258.42,False,57.2,3.168,198.62,7.64
1,1,2021-01-17,1370.39,False,40.3,3.099,201.9,7.01
1,1,2021-01-18,1260.14,False,47.0,3.194,199.81,7.42
1,1,2021-01-19,1049.52,False,41.9,3.17,199.97,7.17
1,1,2021-01-20,1208.55,False,52.7,3.418,198.37,6.65
1,1,2021-01-21,1263.9,False,50.1,3.222,202.7,6.4
1,1,2021-01-22,1385.5,False,47.7,3.277,198.33,6.47
1,1,2021-01-23,1232.66,False,41.8,3.279,200.06,6.54
1,1,2021-01-24,1173.7,False,42.5,3.097,200.23,7.33
1,1,2021-01-25,1260.83,False,45.1,3.505,195.82,6.79
1,1,2021-01-26,902.36,False,45.8,3.287,199.47,6.33
1,1,2021-01-27,1237.83,False,45.9,3.14,200.04,7.85
1,1,2021-01-28,1391.5,False,55.2,3.164,201.2,7.93
1,1,2021-01-29,873.55,False,39.7,3.18,200.1,7.91
1,1,2021-01-30,1447.16,False,54.5,3.208,198.78,6.55
1,1,2021-01-31,1245.47,False,49.4,3.165,201.06,6.46
1,1,2021-02-01,1323.07,False,67.5,3.375,198.86,6.73
1,1,2021-02-02,1150.93,False,64.4,3.166,198.88,7.6
1,1,2021-02-03,1347.4,False,66.6,3.311,201.08,6.04
1,1,2021-02-04,1447.3,False,66.4,3.427,201.93,6.24
1,1,2021-02-05,1161.91,False,62.0,3.423,200.19,6.41
1,1,2021-02-06,1537.87,False,62.9,3.352,201.16,6.93
1,1,2021-02-07,1502.95,False,58.7,3.273,197.72,7.18
1,1,2021-02-08,1242.07,False,66.8,3.561,198.42,7.47
1,1,2021-02-09,1382.44,False,62.3,3.13,195.49,7.76
1,1,2021-02-10,1381.34,False,68.3,3.54,202.32,6.36
1,1,2021-02-11,1614.23,False,62.8,3.471,194.23,7.46
1,1,2021-02-12,1377.36,False,71.6,3.164,199.82,7.78
1,1,2021-02-13,1636.43,False,58.9,3.517,198.58,6.28
1,1,2021-02-14,1708.04,False,60.5,3.52,198.13,7.64
1,1,2021-02-15,1169.1,False,59.9,3.125,202.23,6.09
1,1,2021-02-16,1247.08,False,60.5,3.133,202.12,7.13
1,1,2021-02-17,1337.36,False,67.9,3.308,201.4,7.56
1,1,2021-02-18,923.97,False,56.8,3.41,200.87,6.17
1,1,2021-02-19,1142.82,False,62.2,3.555,199.42,7.77
1,1,2021-02-20,1423.41,False,71.7,3.222,197.19,6.82
1,1,2021-02-21,1754.89,False,59.1,3.111,202.6,7.54
